Threads,Blocks,GPU_Processing_Time(ms),GPU_Gflops,Total_GPU_Time(ms),Speedup
1024,1024,1.791648,0.007144,31.387520,0.002212
1024,128,1.650496,0.007755,30.576736,0.002341
1024,256,1.374208,0.009314,30.041729,0.002298
1024,512,0.250208,0.051157,29.891006,0.002320
128,1024,1.149120,0.011139,30.003647,0.002353
128,128,0.202944,0.063072,30.308064,0.002337
128,256,0.172832,0.074060,29.469152,0.002317
128,512,0.195328,0.065531,29.525185,0.002290
256,1024,0.210304,0.060864,29.416161,0.002296
256,128,2.169600,0.005900,31.254656,0.002161
256,256,0.971424,0.013177,31.197088,0.002269
256,512,0.206112,0.062102,29.091423,0.006980
32,1024,0.203392,0.062933,29.014145,0.002330
32,128,0.783680,0.016333,30.162560,0.002393
32,256,1.341056,0.009545,29.812962,0.002300
32,512,0.347904,0.036792,29.785057,0.002448
512,1024,2.055808,0.006226,30.941505,0.002220
512,128,2.225952,0.005750,31.791328,0.002251
512,256,2.360800,0.005422,31.002527,0.002234
512,512,2.010560,0.006366,32.187935,0.002165
64,1024,0.828544,0.015449,30.252832,0.002219
64,128,1.965920,0.006511,31.029217,0.002239
64,256,2.252000,0.005684,31.859680,0.007121
64,512,2.345920,0.005456,31.258400,0.002170
