L,r,potential
16,1.00,0.076661
16,1.50,0.041145
16,2.00,0.027919
16,2.50,0.022568
16,3.00,0.016995
16,3.50,0.012761
16,4.00,0.009767
16,4.50,0.008149
16,5.00,0.006297
16,5.50,0.005043
16,6.00,0.003840
16,6.50,0.002879
16,7.00,0.002128
32,1.00,0.081561
32,1.50,0.046043
32,2.00,0.032820
32,2.50,0.027462
32,3.00,0.021896
32,3.50,0.017645
32,4.00,0.014687
32,4.50,0.013017
32,5.00,0.011214
32,5.50,0.009908
32,6.00,0.008751
32,6.50,0.007710
32,7.00,0.006830
32,7.50,0.006165
32,8.00,0.005425
32,8.50,0.004856
32,9.00,0.004345
32,9.50,0.003898
32,10.00,0.003427
32,10.50,0.003078
32,11.00,0.002715
32,11.50,0.002404
32,12.00,0.002096
32,12.50,0.001848
32,13.00,0.001616
32,13.50,0.001384
32,14.00,0.001165
32,14.50,0.000992
32,15.00,0.000851
64,1.00,0.083852
64,1.50,0.048334
64,2.00,0.035111
64,2.50,0.029753
64,3.00,0.024186
64,3.50,0.019935
64,4.00,0.016978
64,4.50,0.015307
64,5.00,0.013505
64,5.50,0.012198
64,6.00,0.011042
64,6.50,0.009999
64,7.00,0.009121
64,7.50,0.008455
64,8.00,0.007714
64,8.50,0.007145
64,9.00,0.006637
64,9.50,0.006186
64,10.00,0.005718
64,10.50,0.005362
64,11.00,0.005011
64,11.50,0.004686
64,12.00,0.004388
64,12.50,0.004139
64,13.00,0.003903
64,13.50,0.003669
64,14.00,0.003454
64,14.50,0.003280
64,15.00,0.003097
64,15.50,0.002926
64,16.00,0.002762
64,16.50,0.002619
64,17.00,0.002469
64,17.50,0.002330
64,18.00,0.002203
64,18.50,0.002088
64,19.00,0.001976
64,19.50,0.001868
64,20.00,0.001762
64,20.50,0.001668
64,21.00,0.001574
64,21.50,0.001491
64,22.00,0.001403
64,22.50,0.001325
64,23.00,0.001249
64,23.50,0.001178
64,24.00,0.001103
64,24.50,0.001038
64,25.00,0.000974
64,25.50,0.000910
64,26.00,0.000849
64,26.50,0.000791
64,27.00,0.000735
64,27.50,0.000683
64,28.00,0.000630
64,28.50,0.000584
64,29.00,0.000534
64,29.50,0.000486
64,30.00,0.000438
64,30.50,0.000401
64,31.00,0.000366
8,1.00,0.064843
8,1.50,0.029476
8,2.00,0.016051
8,2.50,0.011140
8,3.00,0.006627
