Threads,Blocks,GPU_Processing_Time(ms),GPU_Gflops,Speedup,Accuracy
1024,1024,79.319107,1.032790,0.468578,1.447440997723224e-07
1024,128,76.162560,1.075594,0.496688,2.061520738623426e-07
1024,2048,75.849983,1.080027,0.503316,1.766576378221359e-07
1024,256,79.132034,1.035232,0.485593,1.176354258850364e-07
1024,512,79.179199,1.034615,0.484431,1.975483688094365e-08
1024,64,76.476959,1.071172,0.501761,1.583983413246730e-06
128,1024,79.223518,1.034036,0.484332,4.201495593275644e-07
128,128,79.316605,1.032823,0.482870,1.459203109204396e-07
128,2048,76.122147,1.076165,0.503225,5.376287517067802e-07
128,256,81.558754,1.004429,0.464528,6.647246495961250e-07
128,512,83.821922,0.977310,0.443423,1.465261330006024e-06
128,64,81.463425,1.005605,0.442128,1.682504833168106e-07
256,1024,85.771873,0.955092,0.421191,1.546662951090182e-07
256,128,81.671875,1.003038,0.463281,6.982199081906815e-07
256,2048,79.286140,1.033220,0.490326,4.692321329652832e-08
256,256,78.913567,1.038098,0.469694,1.353238298484230e-06
256,512,76.083267,1.076715,0.501957,4.421075621839958e-07
256,64,79.551331,1.029775,0.488714,3.573126096060847e-07
32,1024,80.051132,1.023346,0.476910,5.141820706905908e-07
32,128,77.751938,1.053607,0.490781,2.077004545503993e-07
32,2048,80.261635,1.020662,0.486921,1.493732299811397e-06
32,256,76.577728,1.069763,0.486068,2.062117763906412e-07
32,512,79.355263,1.032320,0.486302,5.011561367927077e-07
32,64,78.548798,1.042919,0.487209,1.153695722548351e-06
512,1024,75.803101,1.080695,0.492470,1.726568152677862e-07
512,128,76.485344,1.071055,0.510463,1.499128758140520e-06
512,2048,79.351936,1.032363,0.490891,2.617914200833003e-07
512,256,77.808929,1.052835,0.493435,2.109902778815563e-07
512,512,75.774879,1.081097,0.513875,2.553381556626573e-07
512,64,78.866974,1.038711,0.485371,8.232688736103589e-07
64,1024,81.282272,1.007846,0.442892,1.377801488120238e-06
64,128,89.086784,0.919553,0.425591,3.947982249773800e-08
64,2048,81.591522,1.004026,0.467724,2.219692793097720e-07
64,256,84.447716,0.970068,0.427098,4.272804831147137e-07
64,512,81.456833,1.005686,0.441970,7.413915748236654e-07
64,64,89.726112,0.913001,0.423258,2.378899929197973e-08
